Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Afghanistan,2013,Total,31108077,15782020,15326057,100.0,100.0,100.0,103.0
"Custom Region",Afghanistan,2013,0-4,4954694,2516706,2437988,15.9,15.9,15.9,103.2
"Custom Region",Afghanistan,2013,5-9,4237569,2151981,2085588,13.6,13.6,13.6,103.2
"Custom Region",Afghanistan,2013,10-14,4060950,2064410,1996540,13.1,13.1,13.0,103.4
"Custom Region",Afghanistan,2013,15-19,3776516,1923726,1852790,12.1,12.2,12.1,103.8
"Custom Region",Afghanistan,2013,20-24,3049334,1555970,1493364,9.8,9.9,9.7,104.2
"Custom Region",Afghanistan,2013,25-29,2320151,1183756,1136395,7.5,7.5,7.4,104.2
"Custom Region",Afghanistan,2013,30-34,1811255,929507,881748,5.8,5.9,5.8,105.4
"Custom Region",Afghanistan,2013,35-39,1638266,839887,798379,5.3,5.3,5.2,105.2
"Custom Region",Afghanistan,2013,40-44,1331435,676627,654808,4.3,4.3,4.3,103.3
"Custom Region",Afghanistan,2013,45-49,1090082,554117,535965,3.5,3.5,3.5,103.4
"Custom Region",Afghanistan,2013,50-54,872649,439309,433340,2.8,2.8,2.8,101.4
"Custom Region",Afghanistan,2013,55-59,680699,338115,342584,2.2,2.1,2.2,98.7
"Custom Region",Afghanistan,2013,60-64,509948,247514,262434,1.6,1.6,1.7,94.3
"Custom Region",Afghanistan,2013,65-69,357826,170282,187544,1.2,1.1,1.2,90.8
"Custom Region",Afghanistan,2013,70-74,227576,105885,121691,0.7,0.7,0.8,87.0
"Custom Region",Afghanistan,2013,75-79,122422,55836,66586,0.4,0.4,0.4,83.9
"Custom Region",Afghanistan,2013,80-84,50319,21693,28626,0.2,0.1,0.2,75.8
"Custom Region",Afghanistan,2013,85-89,13825,5688,8137,0.0,0.0,0.1,69.9
"Custom Region",Afghanistan,2013,90-94,2350,931,1419,0.0,0.0,0.0,65.6
"Custom Region",Afghanistan,2013,95-99,201,76,125,0.0,0.0,0.0,60.8
"Custom Region",Afghanistan,2013,100+,10,4,6,0.0,0.0,0.0,66.7
"Custom Region",Afghanistan,2014,Total,31822848,16140369,15682479,100.0,100.0,100.0,102.9
"Custom Region",Afghanistan,2014,0-4,5056118,2568496,2487622,15.9,15.9,15.9,103.3
"Custom Region",Afghanistan,2014,5-9,4312498,2189984,2122514,13.6,13.6,13.5,103.2
"Custom Region",Afghanistan,2014,10-14,4004604,2035352,1969252,12.6,12.6,12.6,103.4
